step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
37,CASH_OUT,267289.58,C224115260,397858.58,130569.0,C2100559328,3664138.94,3931428.53,0,0
234,PAYMENT,52457.64,C952073038,0.0,0.0,M763062534,0.0,0.0,0,0
687,PAYMENT,35944.26,C1418389379,0.0,0.0,M914548199,0.0,0.0,0,0
132,CASH_OUT,152038.27,C1724100314,0.0,0.0,C1738583699,1920325.16,2072363.43,0,0
349,CASH_OUT,200053.4,C1488617727,0.0,0.0,C661978675,10364319.7,10564373.1,0,0
401,PAYMENT,1188.16,C508996389,163089.05,161900.89,M1935024670,0.0,0.0,0,0
259,CASH_OUT,199765.43,C2078246354,0.0,0.0,C1172410829,949726.38,1149491.82,0,0
227,CASH_OUT,24495.98,C1025661873,0.0,0.0,C2084921290,146672.58,171168.56,0,0
201,PAYMENT,12729.84,C278582695,0.0,0.0,M909039574,0.0,0.0,0,0
139,CASH_OUT,87905.04,C1923217733,0.0,0.0,C298492445,6588719.19,6676624.23,0,0
234,CASH_OUT,5781.04,C1916969105,0.0,0.0,C1138242870,909863.74,915644.78,0,0
18,CASH_IN,244132.56,C1044010200,8992919.7,9237052.26,C1027992087,16941069.04,16696936.48,0,0
38,CASH_OUT,215873.58,C78766787,20962.0,0.0,C749013731,17198213.91,17414087.5,0,0
692,PAYMENT,14806.68,C687234101,14621.73,0.0,M1340112250,0.0,0.0,0,0
208,CASH_IN,62682.6,C1004716903,3938141.99,4000824.59,C1706074136,84714.37,22031.78,0,0
15,CASH_OUT,71665.07,C1315960119,51836.0,0.0,C1660510741,5062.0,76727.07,0,0
407,PAYMENT,25919.32,C385437934,493.0,0.0,M2098275115,0.0,0.0,0,0
11,CASH_IN,188659.5,C2141024471,1887448.8,2076108.3,C235219816,1189887.47,308597.58,0,0
309,CASH_IN,188490.89,C2108203373,7876805.75,8065296.64,C193896440,7871847.13,7683356.24,0,0
542,CASH_OUT,75258.4,C1369299478,31572.0,0.0,C1633719099,1531309.42,1606567.82,0,0
189,TRANSFER,597902.76,C909274372,69643.0,0.0,C1549117507,216717.5,814620.26,0,0
36,PAYMENT,32983.57,C2108284741,7306.0,0.0,M97646745,0.0,0.0,0,0
235,PAYMENT,3479.87,C163204416,0.0,0.0,M1874275529,0.0,0.0,0,0
41,PAYMENT,19071.55,C1922807407,23941.0,4869.45,M479154771,0.0,0.0,0,0
308,PAYMENT,8224.38,C1984897919,102436.0,94211.62,M1692943209,0.0,0.0,0,0
18,CASH_OUT,28669.41,C1683799470,32393.0,3723.59,C948470986,726477.0,755146.41,0,0
188,CASH_IN,154374.54,C1253612436,3704444.28,3858818.82,C557310500,918025.94,763651.4,0,0
370,CASH_OUT,65226.24,C3073229,50818.0,0.0,C1631108248,0.0,65226.24,0,0
373,CASH_IN,142724.62,C335777452,12070.0,154794.62,C554749437,0.0,0.0,0,0
137,TRANSFER,668504.63,C437764266,19866.0,0.0,C1570835788,256916.21,852261.89,0,0
398,CASH_OUT,122459.38,C2091976225,0.0,0.0,C1592987538,991062.97,1113522.35,0,0
161,CASH_OUT,21212.91,C1494678437,11383.0,0.0,C542344194,114389.25,135602.15,0,0
204,CASH_IN,276388.77,C2100743921,2474050.64,2750439.4,C1284149862,5775485.13,5499096.36,0,0
370,CASH_OUT,134550.36,C1520809804,0.0,0.0,C436897234,555284.53,949421.91,0,0
300,PAYMENT,8521.54,C394337623,18753.0,10231.46,M767885086,0.0,0.0,0,0
178,CASH_OUT,319566.56,C435858005,0.0,0.0,C609621471,533159.93,1971297.56,0,0
402,PAYMENT,27264.43,C1902430498,0.0,0.0,M167306559,0.0,0.0,0,0
357,CASH_OUT,88046.92,C2068765351,10256.0,0.0,C477100170,1685811.42,1773858.34,0,0
356,CASH_OUT,186522.65,C1594143579,69932.0,0.0,C1111933086,169462.24,355984.88,0,0
157,CASH_IN,657017.87,C2054509294,20255.0,677272.87,C1670515867,0.0,0.0,0,0
185,PAYMENT,14842.33,C1636075215,4034.0,0.0,M1935933085,0.0,0.0,0,0
514,PAYMENT,297.15,C238863566,164.0,0.0,M1471954522,0.0,0.0,0,0
34,CASH_OUT,16146.3,C7405729,0.0,0.0,C759599765,1850316.28,2447415.16,0,0
166,PAYMENT,204.82,C1039387058,19921.0,19716.18,M792662019,0.0,0.0,0,0
177,DEBIT,7012.26,C1347540960,22668.0,15655.74,C2037355422,656133.89,663146.15,0,0
373,PAYMENT,4085.55,C128541607,54923.0,50837.45,M1633010646,0.0,0.0,0,0
9,CASH_OUT,21953.99,C319952813,0.0,0.0,C811597806,31042.0,125989.42,0,0
7,CASH_OUT,76510.16,C1286037944,0.0,0.0,C566698125,278769.33,2281735.27,0,0
180,CASH_OUT,81208.94,C993164768,1918.0,0.0,C1658789929,2081894.73,2163103.67,0,0
211,CASH_IN,240920.39,C530751355,6720452.08,6961372.46,C255063449,2019962.59,1779042.2,0,0
378,PAYMENT,3948.18,C798435956,96501.0,92552.82,M410476650,0.0,0.0,0,0
355,CASH_OUT,152652.72,C1293152915,0.0,0.0,C1282159124,1413307.31,1565960.02,0,0
376,TRANSFER,332612.63,C1401633424,0.0,0.0,C1531925390,879401.37,1212014.0,0,0
156,PAYMENT,14523.78,C1947098102,118899.0,104375.22,M806901236,0.0,0.0,0,0
235,CASH_OUT,120269.01,C148373905,55348.0,0.0,C362378216,435112.54,555381.55,0,0
297,PAYMENT,19503.1,C544115613,0.0,0.0,M1133981927,0.0,0.0,0,0
396,CASH_OUT,271802.06,C1233432233,97.0,0.0,C306702821,1875954.01,2147756.07,0,0
355,CASH_OUT,28772.44,C879685737,0.0,0.0,C810668011,233024.13,261796.56,0,0
372,CASH_IN,1133.78,C918203365,920559.45,921693.24,C310294433,13473835.81,13472702.02,0,0
162,CASH_IN,217993.82,C816638679,1111.0,219104.82,C1906436958,486066.63,268072.81,0,0
286,CASH_OUT,104508.24,C1607156140,0.0,0.0,C1119052329,694767.31,799275.55,0,0
354,CASH_IN,650864.87,C483656877,1876801.57,2527666.45,C2094229617,1186489.14,535624.26,0,0
288,CASH_IN,116863.75,C253861514,1873216.39,1990080.14,C2094527836,509285.38,392421.63,0,0
322,CASH_OUT,159180.61,C1574250606,84850.0,0.0,C561288939,0.0,159180.61,0,0
355,CASH_OUT,27929.62,C409723288,0.0,0.0,C10613793,590380.47,617505.21,0,0
286,TRANSFER,30442028.47,C192371038,0.0,0.0,C1320946922,166128532.2,196570560.67,0,0
236,PAYMENT,33927.39,C1469753482,7069.74,0.0,M169043958,0.0,0.0,0,0
166,PAYMENT,8998.9,C1278809555,132542.0,123543.1,M784124569,0.0,0.0,0,0
155,TRANSFER,76850.14,C1122404035,0.0,0.0,C1343503359,456399.5,533249.64,0,0
309,PAYMENT,8075.15,C1924224023,0.0,0.0,M655942770,0.0,0.0,0,0
398,CASH_IN,94403.2,C49260066,18681481.85,18775885.05,C86848371,1330098.28,1235695.08,0,0
17,PAYMENT,26193.11,C659197120,957.97,0.0,M2142602704,0.0,0.0,0,0
13,CASH_IN,104964.22,C262264184,715008.4,819972.62,C1593015411,6443278.06,6338313.84,0,0
233,PAYMENT,40853.44,C541840273,1221.24,0.0,M3185357,0.0,0.0,0,0
94,CASH_IN,5608.13,C1924709662,1559.0,7167.13,C1409481919,523944.25,518336.11,0,0
403,CASH_OUT,147576.85,C1356569288,31754.0,0.0,C1189598881,1011384.6,1158961.45,0,0
24,PAYMENT,7968.9,C582031337,106886.0,98917.1,M109669058,0.0,0.0,0,0
33,PAYMENT,2508.01,C1438638114,72645.0,70136.99,M2088328036,0.0,0.0,0,0
302,TRANSFER,591453.64,C1729652090,0.0,0.0,C1591026569,12333585.09,12925038.73,0,0
299,TRANSFER,1885962.75,C1615148630,0.0,0.0,C2117496195,5249840.4,7135803.15,0,0
250,CASH_IN,431215.33,C817666393,16682236.17,17113451.5,C1995081400,4534332.23,4103116.9,0,0
14,CASH_IN,348835.92,C1248779624,659900.59,1008736.51,C495650048,8107481.89,7758645.97,0,0
229,CASH_OUT,288510.75,C1799530193,503993.0,215482.25,C1480298670,116619.34,405130.09,0,0
352,CASH_IN,186494.5,C1326020598,3568548.84,3755043.35,C1466751055,2872585.05,2686090.54,0,0
594,CASH_OUT,14000.49,C982773898,0.0,0.0,C1856129414,602551.74,616552.23,0,0
303,CASH_IN,268758.25,C540898574,5056667.11,5325425.36,C1712504784,1762409.32,1493651.07,0,0
328,CASH_OUT,311923.49,C1711001093,0.0,0.0,C1540308903,472814.53,784738.02,0,0
252,CASH_IN,188963.08,C1620084583,450819.02,639782.1,C490966498,1058390.83,869427.75,0,0
155,CASH_IN,151253.55,C660544835,32217.0,183470.55,C1195725959,0.0,0.0,0,0
19,CASH_IN,17812.89,C369712311,292.0,18104.89,C14338875,41467.36,12526.91,0,0
169,PAYMENT,3720.61,C1055070214,1421.0,0.0,M777997914,0.0,0.0,0,0
129,CASH_OUT,79490.64,C1203860003,49985.0,0.0,C2075403448,1042096.8,1121587.44,0,0
277,CASH_OUT,58077.95,C775589372,0.0,0.0,C1501073218,94731.08,152809.04,0,0
401,CASH_OUT,36840.79,C1315465160,0.0,0.0,C1508071192,2828453.8,2865294.59,0,0
131,CASH_OUT,498871.14,C99508163,70391.9,0.0,C1559048234,5322636.42,5821507.56,0,0
229,CASH_IN,420437.64,C667688390,5917223.35,6337660.99,C272241287,2581987.93,2161550.28,0,0
596,CASH_OUT,82550.71,C1314420188,51329.0,0.0,C339098250,259109.77,341660.48,0,0
307,PAYMENT,31646.29,C1743081623,13275.0,0.0,M232319428,0.0,0.0,0,0
275,TRANSFER,58505.62,C497824194,0.0,0.0,C860864799,107875.63,166381.25,0,0
527,PAYMENT,1230.4,C1930919088,56025.0,54794.6,M1964090080,0.0,0.0,0,0
178,PAYMENT,19386.81,C1782385045,0.0,0.0,M810127115,0.0,0.0,0,0
551,CASH_IN,97426.77,C886925895,5262910.57,5360337.34,C255266646,389916.77,292490.0,0,0
370,CASH_IN,73945.01,C1846114730,34771.0,108716.01,C969028106,0.0,0.0,0,0
183,PAYMENT,18688.42,C1480476451,8695.0,0.0,M1889720793,0.0,0.0,0,0
371,PAYMENT,43882.69,C680417486,0.0,0.0,M1286428412,0.0,0.0,0,0
356,CASH_IN,13033.18,C1287109849,5864407.87,5877441.05,C1068930829,2472718.77,2459685.59,0,0
399,CASH_OUT,280137.69,C1591048561,103807.0,0.0,C1106600407,45499.18,325636.87,0,0
347,PAYMENT,6950.49,C1423829203,0.0,0.0,M939972931,0.0,0.0,0,0
258,CASH_OUT,454428.83,C1343482367,85051.0,0.0,C1783832903,0.0,454428.83,0,0
39,PAYMENT,37475.62,C133278606,0.0,0.0,M872344924,0.0,0.0,0,0
400,CASH_OUT,290767.11,C1186127887,108234.13,0.0,C1995628993,3157631.77,3448398.87,0,0
36,PAYMENT,4013.45,C955769340,20957.0,16943.55,M361748426,0.0,0.0,0,0
180,CASH_IN,446302.95,C1707028030,11435.0,457737.95,C941780577,0.0,0.0,0,0
137,PAYMENT,22751.83,C1109978219,141370.2,118618.37,M523529331,0.0,0.0,0,0
138,CASH_OUT,242942.27,C1928665999,42094.0,0.0,C1310179769,0.0,242942.27,0,0
8,PAYMENT,1751.69,C1912073539,29859.0,28107.31,M1555296883,0.0,0.0,0,0
235,CASH_OUT,85892.34,C308264286,0.0,0.0,C1214241761,288877.14,374769.48,0,0
211,CASH_IN,377793.56,C1469950707,704245.67,1082039.24,C1723811432,1219701.42,841907.85,0,0
38,CASH_OUT,75690.96,C768255300,182939.32,107248.36,C1795006371,275172.68,350863.64,0,0
19,TRANSFER,1911497.18,C391007683,0.0,0.0,C797661854,6757064.53,8668561.71,0,0
130,PAYMENT,48563.93,C1501726809,50242.0,1678.07,M1751008032,0.0,0.0,0,0
164,PAYMENT,8933.77,C1092725631,24988.0,16054.23,M1616742860,0.0,0.0,0,0
400,CASH_IN,36243.75,C812913215,49762.0,86005.75,C1990897008,1868561.14,1832317.38,0,0
283,CASH_OUT,130018.23,C1872821574,0.0,0.0,C104837836,311858.39,441876.62,0,0
235,CASH_OUT,370688.65,C2076416710,16134.0,0.0,C68366664,0.0,370688.65,0,0
379,CASH_OUT,67920.47,C2037642534,91274.0,23353.53,C2078750408,0.0,67920.47,0,0
9,CASH_IN,191321.45,C892543535,135983.0,327304.45,C1400024640,30123.0,190299.7,0,0
398,PAYMENT,1802.91,C85947921,0.0,0.0,M2050736094,0.0,0.0,0,0
133,PAYMENT,4483.69,C1752970488,0.0,0.0,M453801284,0.0,0.0,0,0
135,CASH_IN,41686.48,C1859578102,11281197.72,11322884.2,C1159820619,92580.94,50894.46,0,0
14,TRANSFER,131362.38,C1592502013,0.0,0.0,C1852717538,669138.91,1587699.14,0,0
215,CASH_OUT,89676.86,C976762751,0.0,0.0,C1917070345,2702644.99,2792321.84,0,0
350,PAYMENT,17747.57,C434239894,404472.0,386724.43,M1625862119,0.0,0.0,0,0
300,CASH_IN,326828.79,C2019986368,1666708.71,1993537.5,C185903004,1497755.79,1170927.0,0,0
371,PAYMENT,12574.61,C316515137,171012.42,158437.81,M83864942,0.0,0.0,0,0
353,CASH_OUT,148668.97,C866121448,20922.0,0.0,C1970248865,71222.07,219891.05,0,0
261,PAYMENT,17865.92,C1412360133,32908.0,15042.08,M434358831,0.0,0.0,0,0
356,CASH_OUT,155424.26,C2103380209,101320.0,0.0,C399440384,10820.92,166245.18,0,0
208,TRANSFER,544483.16,C302857524,10359.0,0.0,C1298099418,423205.12,967688.29,0,0
687,CASH_IN,13210.7,C1367085631,0.0,13210.7,C1530368579,62677.32,49466.61,0,0
37,CASH_OUT,73866.4,C1067066060,209142.0,135275.6,C1356482419,1784982.76,1858849.16,0,0
159,TRANSFER,785156.89,C1658896666,258800.0,0.0,C1414452584,1238298.21,2023455.1,0,0
378,PAYMENT,955.19,C1952845402,0.0,0.0,M251072213,0.0,0.0,0,0
